order_id,customer_id,customer_name,product_name,sku,category,quantity,unit_price,total_price,order_date,status
ORD-0001,C002,Metro Grocery Co.,8oz Deli,DR-508,Deli Containers,1928,0.113,217.86,2025-10-09,Confirmed
ORD-0002,C002,Metro Grocery Co.,24oz Round Basketball,CO-624-BKT,Specialty Containers,3556,0.064,227.58,2025-03-31,Cancelled
ORD-0003,C002,Metro Grocery Co.,Deli Recessed Lid,DR-RL,Lids,317,0.303,96.05,2025-08-27,Cancelled
ORD-0004,C009,Pacific Foods Ltd.,16oz Rectangle,CR-815,Rectangle Containers,4927,0.175,862.22,2025-08-14,Delivered
ORD-0005,C001,Fresh Farms Deli,28oz Rectangle,CR-927,Rectangle Containers,2887,0.175,505.22,2025-06-13,Delivered
ORD-0006,C004,GreenLeaf Foods,28oz Rectangle,CR-927,Rectangle Containers,859,0.221,189.84,2025-12-11,Processing
ORD-0007,C006,Harvest Table,28oz Rectangle,CR-928,Rectangle Containers,2266,0.413,935.86,2025-12-19,Cancelled
ORD-0008,C008,Northside Deli,24oz Round,CO-624,Round Containers,745,0.298,222.01,2025-05-08,Delivered
ORD-0009,C010,Central Market Group,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,1675,0.367,614.73,2026-01-06,Cancelled
ORD-0010,C001,Fresh Farms Deli,24oz Round Basketball,CO-624-BKT,Specialty Containers,753,0.435,327.56,2025-08-22,Shipped
ORD-0011,C002,Metro Grocery Co.,16oz Rectangle,CR-815,Rectangle Containers,3088,0.123,379.82,2025-10-12,Delivered
ORD-0012,C006,Harvest Table,Deli Recessed Lid,DR-RL,Lids,1501,0.29,435.29,2025-10-01,Processing
ORD-0013,C004,GreenLeaf Foods,Deli Overcap Lid,DR-ORL,Lids,2311,0.495,1143.94,2026-04-19,Delivered
ORD-0014,C009,Pacific Foods Ltd.,Deli Recessed Lid,DR-RL,Lids,1976,0.42,829.92,2025-11-29,Processing
ORD-0015,C006,Harvest Table,16oz Rectangle,CR-815,Rectangle Containers,1828,0.461,842.71,2025-10-02,Processing
ORD-0016,C010,Central Market Group,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,4189,0.228,955.09,2025-11-19,Confirmed
ORD-0017,C008,Northside Deli,Deli Overcap Lid,DR-ORL,Lids,2120,0.385,816.2,2025-09-29,Confirmed
ORD-0018,C009,Pacific Foods Ltd.,12oz Rectangle,CR-811,Rectangle Containers,3371,0.213,718.02,2026-03-15,Cancelled
ORD-0019,C003,Sunrise Catering,24oz Round,CO-624,Round Containers,485,0.437,211.94,2026-05-21,Processing
ORD-0020,C003,Sunrise Catering,24oz Round Basketball,CO-624-BKT,Specialty Containers,4985,0.079,393.81,2025-06-13,Delivered
ORD-0021,C007,QuickBite Kitchens,24oz Round Baseball,CO-624-BAS,Specialty Containers,2159,0.487,1051.43,2026-04-25,Cancelled
ORD-0022,C001,Fresh Farms Deli,24oz Round Basketball,CO-624-BKT,Specialty Containers,2285,0.396,904.86,2025-04-28,Cancelled
ORD-0023,C006,Harvest Table,12oz Deli,DR-512,Deli Containers,1395,0.254,354.33,2025-10-28,Delivered
ORD-0024,C005,Urban Meal Prep,24oz Round,CO-624,Round Containers,971,0.442,429.18,2025-07-02,Cancelled
ORD-0025,C005,Urban Meal Prep,28oz Rectangle,CR-928,Rectangle Containers,1729,0.119,205.75,2026-06-04,Cancelled
ORD-0026,C003,Sunrise Catering,24oz Round,CO-624,Round Containers,2755,0.27,743.85,2026-06-28,Processing
ORD-0027,C002,Metro Grocery Co.,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,2061,0.076,156.64,2026-01-07,Shipped
ORD-0028,C010,Central Market Group,12oz Deli,DR-512,Deli Containers,666,0.49,326.34,2025-03-29,Delivered
ORD-0029,C009,Pacific Foods Ltd.,28oz Rectangle,CR-927,Rectangle Containers,3993,0.476,1900.67,2025-05-09,Confirmed
ORD-0030,C003,Sunrise Catering,12oz Rectangle,CR-811,Rectangle Containers,3566,0.484,1725.94,2026-06-25,Cancelled
ORD-0031,C009,Pacific Foods Ltd.,28oz Rectangle,CR-927,Rectangle Containers,3368,0.498,1677.26,2025-07-25,Shipped
ORD-0032,C006,Harvest Table,18oz Round,CO-518,Round Containers,1091,0.162,176.74,2026-06-14,Delivered
ORD-0033,C002,Metro Grocery Co.,16oz Deli,DR-516,Deli Containers,4637,0.154,714.1,2025-01-22,Cancelled
ORD-0034,C004,GreenLeaf Foods,8oz Deli,DR-508,Deli Containers,1975,0.08,158.0,2025-03-14,Processing
ORD-0035,C001,Fresh Farms Deli,28oz Rectangle,CR-928,Rectangle Containers,4311,0.157,676.83,2025-12-05,Processing
ORD-0036,C008,Northside Deli,Deli Recessed Lid,DR-RL,Lids,4820,0.263,1267.66,2025-05-16,Cancelled
ORD-0037,C008,Northside Deli,28oz Rectangle,CR-927,Rectangle Containers,872,0.094,81.97,2026-02-21,Confirmed
ORD-0038,C007,QuickBite Kitchens,16oz Deli,DR-516,Deli Containers,3925,0.439,1723.08,2026-03-10,Delivered
ORD-0039,C001,Fresh Farms Deli,24oz Round Basketball,CO-624-BKT,Specialty Containers,3398,0.378,1284.44,2025-04-11,Processing
ORD-0040,C002,Metro Grocery Co.,Deli Recessed Lid,DR-RL,Lids,4493,0.252,1132.24,2025-07-16,Confirmed
ORD-0041,C007,QuickBite Kitchens,Deli Overcap Lid,DR-ORL,Lids,2146,0.444,952.82,2025-10-13,Delivered
ORD-0042,C002,Metro Grocery Co.,18oz Round,CO-518,Round Containers,4528,0.426,1928.93,2025-04-11,Processing
ORD-0043,C002,Metro Grocery Co.,28oz Rectangle 2-Compartment,CR-M-2932,Rectangle Containers,3429,0.269,922.4,2025-08-31,Confirmed
ORD-0044,C004,GreenLeaf Foods,28oz Rectangle,CR-928,Rectangle Containers,1448,0.221,320.01,2026-02-15,Processing
ORD-0045,C007,QuickBite Kitchens,12oz Rectangle,CR-811,Rectangle Containers,3565,0.363,1294.1,2026-04-11,Shipped
ORD-0046,C009,Pacific Foods Ltd.,24oz Round Basketball,CO-624-BKT,Specialty Containers,1655,0.184,304.52,2026-05-14,Confirmed
ORD-0047,C001,Fresh Farms Deli,24oz Round Baseball,CO-624-BAS,Specialty Containers,568,0.073,41.46,2025-03-04,Shipped
ORD-0048,C008,Northside Deli,24oz Round,CO-624,Round Containers,565,0.482,272.33,2026-06-28,Confirmed
