shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,status
SHP-0001,ORD-0001,UPS,TRK370874491,2025-01-30,2025-02-03,In Transit
SHP-0005,ORD-0005,DHL,TRK679196799,2025-06-17,2025-06-19,Delivered
SHP-0011,ORD-0011,FedEx,TRK798086909,2025-06-17,2025-06-21,In Transit
SHP-0013,ORD-0013,FedEx,TRK314061901,2025-08-14,2025-08-16,In Transit
SHP-0014,ORD-0014,FedEx,TRK235528741,2026-02-20,2026-02-23,Out for Delivery
SHP-0016,ORD-0016,FedEx,TRK599326438,2025-05-28,2025-06-03,Delayed
SHP-0027,ORD-0027,FedEx,TRK750572325,2025-04-01,2025-04-05,Delivered
SHP-0036,ORD-0036,DHL,TRK222978730,2026-03-02,2026-03-09,Delivered
SHP-0037,ORD-0037,FedEx,TRK721358005,2025-03-06,2025-03-10,Delivered
SHP-0039,ORD-0039,DHL,TRK827296111,2025-03-20,2025-03-24,Delivered
SHP-0041,ORD-0041,DHL,TRK312954978,2025-08-11,2025-08-16,Delivered
SHP-0042,ORD-0042,DHL,TRK991819497,2025-09-30,2025-10-06,Delivered
SHP-0044,ORD-0044,DHL,TRK929445037,2025-03-06,2025-03-08,Out for Delivery
SHP-0048,ORD-0048,DHL,TRK940348305,2025-03-30,2025-04-01,Delivered
SHP-0049,ORD-0049,DHL,TRK559967386,2025-09-03,2025-09-07,Delayed
SHP-0050,ORD-0050,DHL,TRK795294275,2026-04-17,2026-04-19,Out for Delivery
SHP-0055,ORD-0055,UPS,TRK213321496,2025-06-10,2025-06-15,Out for Delivery
SHP-0056,ORD-0056,UPS,TRK859466878,2025-07-31,2025-08-07,In Transit
SHP-0057,ORD-0057,DHL,TRK660221300,2025-04-09,2025-04-12,Delivered
SHP-0060,ORD-0060,DHL,TRK931764920,2025-02-09,2025-02-15,Out for Delivery
SHP-0066,ORD-0066,DHL,TRK736164778,2025-12-29,2026-01-03,Out for Delivery
SHP-0067,ORD-0067,FedEx,TRK399496923,2026-02-16,2026-02-19,Out for Delivery
SHP-0073,ORD-0073,DHL,TRK755338677,2025-07-23,2025-07-28,Delayed
SHP-0075,ORD-0075,FedEx,TRK630757561,2025-12-05,2025-12-09,Delivered
SHP-0077,ORD-0077,UPS,TRK327761953,2025-11-11,2025-11-14,Out for Delivery
SHP-0078,ORD-0078,UPS,TRK740116562,2025-11-29,2025-12-03,Delivered
SHP-0082,ORD-0082,FedEx,TRK654724287,2025-03-19,2025-03-25,Delivered
SHP-0083,ORD-0083,FedEx,TRK873174285,2026-05-24,2026-05-26,Delivered
SHP-0084,ORD-0084,DHL,TRK914073098,2025-04-24,2025-04-29,Delivered
SHP-0088,ORD-0088,UPS,TRK793532952,2026-04-08,2026-04-15,Delayed
SHP-0090,ORD-0090,FedEx,TRK199915275,2025-09-02,2025-09-07,Out for Delivery
SHP-0092,ORD-0092,DHL,TRK361246928,2025-03-09,2025-03-14,Delivered
SHP-0095,ORD-0095,DHL,TRK496232693,2025-11-05,2025-11-12,Delivered
SHP-0096,ORD-0096,DHL,TRK469106688,2025-08-18,2025-08-24,Delivered
SHP-0097,ORD-0097,DHL,TRK455184454,2026-02-07,2026-02-14,Out for Delivery
SHP-0099,ORD-0099,UPS,TRK369942642,2025-03-31,2025-04-04,Delivered
SHP-0100,ORD-0100,DHL,TRK306785808,2026-01-26,2026-01-28,Out for Delivery
